epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_auc,val_loss
0,9,,,0.875,0.6216459274291992,,,
0,19,,,0.9375,0.5878076553344727,,,
0,29,,,0.875,0.5836306810379028,,,
0,39,,,0.9375,0.5632311701774597,,,
0,49,,,0.6875,0.6192010641098022,,,
0,59,,,0.875,0.5473334193229675,,,
0,69,,,0.8125,0.5472580790519714,,,
0,79,,,1.0,0.3554514944553375,,,
0,89,,,0.9375,0.44101250171661377,,,
0,99,,,0.9375,0.3965269923210144,,,
0,109,,,0.8125,0.4906451106071472,,,
0,119,,,1.0,0.2643458843231201,,,
0,129,,,0.75,0.567381739616394,,,
0,139,,,0.875,0.43249547481536865,,,
0,149,,,0.875,0.3515620231628418,,,
0,159,,,0.8125,0.5448535084724426,,,
0,169,,,0.9375,0.23393140733242035,,,
0,179,,,0.8125,0.5782725811004639,,,
0,189,,,0.9375,0.2542054057121277,,,
0,199,,,0.8125,0.41101181507110596,,,
0,209,,,0.9375,0.25028854608535767,,,
0,219,,,0.875,0.4891522526741028,,,
0,229,,,0.9375,0.2744675874710083,,,
0,239,,,1.0,0.11232001334428787,,,
0,249,,,0.9375,0.2673780024051666,,,
0,259,,,0.75,0.671992838382721,,,
0,269,,,0.9375,0.3115110397338867,,,
0,279,,,0.9375,0.23531648516654968,,,
0,289,,,0.9375,0.2259036898612976,,,
0,299,,,0.875,0.38684237003326416,,,
0,309,,,0.9375,0.23303717374801636,,,
0,319,,,0.9375,0.3285185694694519,,,
0,329,,,0.9375,0.1961689293384552,,,
0,339,,,0.875,0.32943466305732727,,,
0,349,,,1.0,0.08286654204130173,,,
0,359,,,1.0,0.08220390975475311,,,
0,369,,,0.9375,0.2033194750547409,,,
0,379,,,0.9375,0.18265970051288605,,,
0,389,,,0.9375,0.3748309314250946,,,
0,399,,,1.0,0.1006983146071434,,,
0,409,,,0.9375,0.27361005544662476,,,
0,419,,,0.9375,0.2665984630584717,,,
0,429,,,0.875,0.41038063168525696,,,
0,439,,,0.9375,0.18370625376701355,,,
0,449,,,0.9375,0.2527693808078766,,,
0,459,,,0.875,0.310095876455307,,,
0,469,,,1.0,0.06905420124530792,,,
0,479,,,0.9375,0.19974391162395477,,,
0,489,,,0.8125,0.4983360767364502,,,
0,499,,,0.75,0.5173321962356567,,,
0,509,,,0.9375,0.26937657594680786,,,
0,519,,,0.875,0.34108710289001465,,,
0,529,,,0.875,0.36533623933792114,,,
0,539,,,0.8125,0.46299469470977783,,,
0,549,,,0.875,0.374061644077301,,,
0,559,,,0.8125,0.47153642773628235,,,
0,569,,,0.9375,0.22676149010658264,,,
0,579,,,0.8125,0.4655609726905823,,,
0,589,,,0.75,0.6400535106658936,,,
0,599,,,0.9375,0.25077950954437256,,,
0,609,,,1.0,0.09107888489961624,,,
0,619,,,0.9375,0.1992550492286682,,,
0,629,,,1.0,0.07852176576852798,,,
0,639,,,0.9375,0.23963917791843414,,,
0,649,,,0.875,0.32862043380737305,,,
0,659,,,0.8125,0.5903469920158386,,,
0,669,,,0.9375,0.25524085760116577,,,
0,679,,,0.9375,0.15310505032539368,,,
0,689,,,0.8125,0.533287525177002,,,
0,699,,,0.75,0.6510946750640869,,,
0,709,,,0.9375,0.20832465589046478,,,
0,719,,,1.0,0.1098300963640213,,,
0,729,,,0.875,0.31335899233818054,,,
